Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2584384,11/7/2019,11/7/2019,,Jojo Rabbit,https://www.imdb.com/title/tt2584384/,movie,8,108,2019,"Comedy, Drama, War",75486,9/8/2019,Taika Waititi
2,tt1489887,5/27/2019,5/27/2019,,Booksmart,https://www.imdb.com/title/tt1489887/,movie,7.2,102,2019,Comedy,62307,3/10/2019,Olivia Wilde
3,tt6751668,10/26/2019,10/26/2019,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Crime, Drama, Thriller",187097,5/21/2019,Bong Joon Ho
4,tt8079248,6/29/2019,6/29/2019,,Yesterday,https://www.imdb.com/title/tt8079248/,movie,6.9,116,2019,"Comedy, Fantasy, Music, Musical, Romance",76435,5/4/2019,Danny Boyle
5,tt1979376,6/22/2019,6/22/2019,,Toy Story 4,https://www.imdb.com/title/tt1979376/,movie,7.9,100,2019,"Animation, Adventure, Comedy, Family, Fantasy",150005,6/11/2019,Josh Cooley
6,tt4729430,12/2/2019,12/2/2019,Not in theater.,Klaus,https://www.imdb.com/title/tt4729430/,movie,8.2,96,2019,"Animation, Adventure, Comedy, Family",53252,11/8/2019,"Carlos Martínez López, Sergio Pablos"
7,tt8652728,12/6/2019,12/6/2019,,Waves,https://www.imdb.com/title/tt8652728/,movie,7.7,135,2019,"Drama, Romance, Sport",5194,8/30/2019,Trey Edward Shults
8,tt9426210,1/18/2020,1/18/2020,,Tenki no ko,https://www.imdb.com/title/tt9426210/,movie,7.7,112,2019,"Animation, Drama, Fantasy, Romance",7712,1/15/2019,Makoto Shinkai
9,tt4364194,9/15/2019,9/15/2019,,The Peanut Butter Falcon,https://www.imdb.com/title/tt4364194/,movie,7.7,97,2019,"Adventure, Comedy, Drama, Sport",31343,3/9/2019,"Tyler Nilson, Michael Schwartz"
10,tt7131622,7/26/2019,7/26/2019,,Once Upon a Time ...in Hollywood,https://www.imdb.com/title/tt7131622/,movie,7.7,161,2019,"Comedy, Drama",363346,5/21/2019,Quentin Tarantino
11,tt7653254,12/11/2019,12/11/2019,Not in theater.,Marriage Story,https://www.imdb.com/title/tt7653254/,movie,8.1,137,2019,"Comedy, Drama, Romance",151624,8/29/2019,Noah Baumbach
12,tt6857112,3/25/2019,3/25/2019,,Us,https://www.imdb.com/title/tt6857112/,movie,6.9,116,2019,"Horror, Mystery, Thriller",180345,3/8/2019,Jordan Peele
13,tt7089882,7/12/2019,7/12/2019,,Gekijoban Hibike! Euphonium: Chikai no Finale,https://www.imdb.com/title/tt7089882/,movie,7.8,100,2019,"Animation, Drama, Family, Music",75,4/19/2019,Tatsuya Ishihara
14,tt2386490,2/23/2019,2/23/2019,,How to Train Your Dragon: The Hidden World,https://www.imdb.com/title/tt2386490/,movie,7.5,104,2019,"Animation, Action, Adventure, Family, Fantasy",85945,1/3/2019,Dean DeBlois
15,tt3513548,12/14/2019,12/14/2019,,Richard Jewell,https://www.imdb.com/title/tt3513548/,movie,7.5,131,2019,"Biography, Crime, Drama",14511,11/20/2019,Clint Eastwood
16,tt0437086,2/17/2019,2/17/2019,,Alita: Battle Angel,https://www.imdb.com/title/tt0437086/,movie,7.3,122,2019,"Action, Adventure, Sci-Fi, Thriller",186046,2/5/2019,Robert Rodriguez
17,tt7343762,8/20/2019,8/20/2019,,Good Boys,https://www.imdb.com/title/tt7343762/,movie,6.7,90,2019,"Adventure, Comedy",39919,3/11/2019,Gene Stupnitsky
18,tt8946378,11/30/2019,11/30/2019,,Knives Out,https://www.imdb.com/title/tt8946378/,movie,8,131,2019,"Comedy, Crime, Drama, Mystery, Thriller",140055,9/7/2019,Rian Johnson
19,tt8579674,1/13/2020,1/13/2020,,1917,https://www.imdb.com/title/tt8579674/,movie,8.5,119,2019,"Drama, War",135795,12/4/2019,Sam Mendes
20,tt7349950,9/7/2019,9/7/2019,,It Chapter Two,https://www.imdb.com/title/tt7349950/,movie,6.6,169,2019,"Drama, Fantasy, Horror",154053,8/26/2019,Andy Muschietti
21,tt1950186,11/18/2019,11/18/2019,,Ford v Ferrari,https://www.imdb.com/title/tt1950186/,movie,8.2,152,2019,"Action, Biography, Drama, Sport",115179,8/30/2019,James Mangold
22,tt8151874,11/27/2019,11/27/2019,,Honey Boy,https://www.imdb.com/title/tt8151874/,movie,7.4,94,2019,Drama,5650,1/25/2019,Alma Har'el
23,tt4154796,4/27/2019,4/27/2019,,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,movie,8.5,181,2019,"Action, Adventure, Drama, Sci-Fi",658533,4/22/2019,"Anthony Russo, Joe Russo"
24,tt4520988,11/23/2019,11/23/2019,,Frozen II,https://www.imdb.com/title/tt4520988/,movie,7.2,103,2019,"Animation, Adventure, Comedy, Family, Fantasy, Musical",64046,11/7/2019,"Jennifer Lee, Chris Buck"
25,tt6823368,1/19/2019,1/19/2019,,Glass,https://www.imdb.com/title/tt6823368/,movie,6.7,129,2019,"Drama, Sci-Fi, Thriller",180461,1/7/2019,M. Night Shyamalan
26,tt10472884,10/4/2019,10/4/2019,,Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai,https://www.imdb.com/title/tt10472884/,movie,7.9,89,2019,"Animation, Drama, Family, Fantasy, Mystery, Romance",417,6/15/2019,Sôichi Masui
27,tt6394270,12/21/2019,12/21/2019,,Bombshell,https://www.imdb.com/title/tt6394270/,movie,6.8,109,2019,"Biography, Drama",24989,12/13/2019,Jay Roach
28,tt8404614,12/24/2019,12/24/2019,Not in theater.,The Two Popes,https://www.imdb.com/title/tt8404614/,movie,7.6,125,2019,"Biography, Comedy, Drama",64167,8/31/2019,Fernando Meirelles
29,tt2066051,5/31/2019,5/31/2019,,Rocketman,https://www.imdb.com/title/tt2066051/,movie,7.4,121,2019,"Biography, Drama, Music, Musical",93161,5/16/2019,Dexter Fletcher
30,tt6513120,2/24/2019,2/24/2019,,Fighting with My Family,https://www.imdb.com/title/tt6513120/,movie,7.1,108,2019,"Biography, Comedy, Drama, Sport",49949,1/28/2019,Stephen Merchant
31,tt5606664,11/11/2019,11/11/2019,,Doctor Sleep,https://www.imdb.com/title/tt5606664/,movie,7.5,152,2019,"Drama, Fantasy, Horror, Thriller",62809,10/30/2019,Mike Flanagan
