Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt2584384,11/7/2019,11/7/2019,,Jojo Rabbit,https://www.imdb.com/title/tt2584384/,movie,8.0,108,2019,"Comedy, Drama, War",75486,9/8/2019,Taika Waititi
2,tt1489887,5/27/2019,5/27/2019,,Booksmart,https://www.imdb.com/title/tt1489887/,movie,7.2,102,2019,Comedy,62307,3/10/2019,Olivia Wilde
3,tt6751668,10/26/2019,10/26/2019,,Gisaengchung,https://www.imdb.com/title/tt6751668/,movie,8.6,132,2019,"Comedy, Crime, Drama, Thriller",187097,5/21/2019,Bong Joon Ho
4,tt8079248,6/29/2019,6/29/2019,,Yesterday,https://www.imdb.com/title/tt8079248/,movie,6.9,116,2019,"Comedy, Fantasy, Music, Musical, Romance",76435,5/4/2019,Danny Boyle
5,tt1979376,6/22/2019,6/22/2019,,Toy Story 4,https://www.imdb.com/title/tt1979376/,movie,7.9,100,2019,"Animation, Adventure, Comedy, Family, Fantasy",150005,6/11/2019,Josh Cooley
6,tt4729430,12/2/2019,12/2/2019,Not in theater.,Klaus,https://www.imdb.com/title/tt4729430/,movie,8.2,96,2019,"Animation, Adventure, Comedy, Family",53252,11/8/2019,"Carlos Martínez López, Sergio Pablos"
9,tt4364194,9/15/2019,9/15/2019,,The Peanut Butter Falcon,https://www.imdb.com/title/tt4364194/,movie,7.7,97,2019,"Adventure, Comedy, Drama, Sport",31343,3/9/2019,"Tyler Nilson, Michael Schwartz"
10,tt7131622,7/26/2019,7/26/2019,,Once Upon a Time ...in Hollywood,https://www.imdb.com/title/tt7131622/,movie,7.7,161,2019,"Comedy, Drama",363346,5/21/2019,Quentin Tarantino
11,tt7653254,12/11/2019,12/11/2019,Not in theater.,Marriage Story,https://www.imdb.com/title/tt7653254/,movie,8.1,137,2019,"Comedy, Drama, Romance",151624,8/29/2019,Noah Baumbach
17,tt7343762,8/20/2019,8/20/2019,,Good Boys,https://www.imdb.com/title/tt7343762/,movie,6.7,90,2019,"Adventure, Comedy",39919,3/11/2019,Gene Stupnitsky
18,tt8946378,11/30/2019,11/30/2019,,Knives Out,https://www.imdb.com/title/tt8946378/,movie,8.0,131,2019,"Comedy, Crime, Drama, Mystery, Thriller",140055,9/7/2019,Rian Johnson
24,tt4520988,11/23/2019,11/23/2019,,Frozen II,https://www.imdb.com/title/tt4520988/,movie,7.2,103,2019,"Animation, Adventure, Comedy, Family, Fantasy, Musical",64046,11/7/2019,"Jennifer Lee, Chris Buck"
28,tt8404614,12/24/2019,12/24/2019,Not in theater.,The Two Popes,https://www.imdb.com/title/tt8404614/,movie,7.6,125,2019,"Biography, Comedy, Drama",64167,8/31/2019,Fernando Meirelles
30,tt6513120,2/24/2019,2/24/2019,,Fighting with My Family,https://www.imdb.com/title/tt6513120/,movie,7.1,108,2019,"Biography, Comedy, Drama, Sport",49949,1/28/2019,Stephen Merchant
